user_id,#answers-last-30days,list of potential questions
102413,17,739929,739138,739182,741257,738176,741133,740368,739237,741591,740192
103693,1,739706,741382,741863,741531,741067,741785,740673,740817,740642,740467
10380,1,739706,741382,741863,741531,741067,740673,740817,740642,740467,738097
103862,29,741257,739929,741133,739138,739182,738176,741591,739237,738357,740368
105802,5,740632,739959,740514,740885,740676,740707,738533,739851,739556,740941
106056,3,739763,739321,741520,741536,740144,741352,740081,738749,738797,740348
106258,6,739929,739138,741257,739182,738176,741133,740368,740254,739577,739237
108717,2,741691,741155,741747,739802,740396,740368,740916,741966,739972,738705
109353,4,738693,739929,741257,738176,741591,739182,741133,739138,739577,739237
110,7,741133,739929,741257,739138,739182,738176,739237,740368,738571,741591
111303,1,740428,741863,739963,741870,740335,741732,740003,740609,741928,740432
112041,93,739929,739138,741257,739182,738176,741133,740254,739237,740368,741591
113460,1,740085,741253,741744,740608,739974,739513,741966,740858,740843,739137
114468,540,739577,741744,739137,741771,741591,741257,741133,740368,739929,739763
11624,2,739460,741763,741755,741053,739524,739551,741765,740663,741443,739640
118121,1,741328,741649,741651,740127,739331,740849,737872,739706,741370,739336
118525,23,741514,741197,741828,738053,740193,738668,739060,738719,740112,738036
118816,9,739929,739182,741257,739138,741133,738176,739237,741591,739577,740368
120397,18,741370,739138,739577,741528,739929,741591,741257,739336,739137,739182
12134,13,740429,741967,741829,741762,738371,739763,741309,740746,740642,738036
123162,13,740525,740555,738369,741370,741771,739377,738036,738507,738380,738649
123692,4,740318,740050,739592,740182,740247,741005,740991,740270,739331,739946
124588,20,741771,738652,739437,737831,739575,741364,738630,738163,737834,741078
125219,1,741894,738154,740161,741528,739435,739191,738071,740673,741434,741912
125555,3,741744,739138,739929,741257,739182,738176,741133,739144,741591,738507
125756,1,737880,741161,740371,738584,738927,739187,738130,741962,741299,740688
126479,1,740202,741852,739528,741148,739088,739303,741209,740351,738695,740642
126886,1,740421,740454,740962,741592,739790,741894,738135,741291,739247,739072
129162,45,741257,741133,739929,739182,739138,739237,741591,740368,738176,739577
129903,1,741106,739246,741370,741556,741894,741064,741883,739528,739709,741651
129977,107,739929,739138,741257,739182,738176,741133,739237,740368,741591,739577
130489,468,739577,739182,739929,740368,739138,739151,741257,739479,741133,741408
131010,178,741771,741257,741591,739577,741133,741744,739237,740368,739929,738719
131352,4,739042,739403,739298,739593,740318,739060,739331,741331,741645,738749
131568,39,739929,741257,740368,741133,740555,739182,739577,739237,739138,741221
132134,1,738788,739668,738721,740317,741572,739371,738880,739861,740201,741304
133530,94,739929,741257,739577,740368,741133,739138,739182,739237,739137,738176
135123,7,739929,739138,741257,739182,738176,741133,739237,741591,740368,738357
136,6,740228,741148,738677,741370,738307,741912,741127,739309,739255,737968
136130,5,740275,741419,741429,741966,739151,741257,741215,741408,740368,741867
